"10","6"
"12","71"
"13","9"
"17","8"
"29","2"
"31","101"
"33","86"
"34","35"
"35","34"
"39","1"
"40","10"
"43","99"
"45","42"
"50","19"
"52","31"
"53","3"
"55","2"
"56","46"
"57","12"
"600","68"
"602","33"
"605","7"
"606","104"
"610","4"
"611","70"
"613","27"
"616","7"
"617","128"
"619","12"
"621","155"
"622","4"
"624","55"
"625","1"
"627","20"
"628","3"
"629","38"
"631","31"
"634","26"
"635","16"
"636","86"
"638","48"
"641","4"
"644","44"
"646","7"
"648","10"
"650","29"
"651","98"
"652","10"
"653","59"
"1261","4"
"1262","53"
"1264","11"
"1266","5"
"1270","27"
"1273","78"
"1275","14"
"1276","5"
"1279","42"
"1282","6"
"1283","46"
"1285","31"
"1286","23"
"1291","8"
"1293","20"
"1296","33"
"1298","38"
"1299","2"
"1300","14"
"1303","116"
"1304","4"
"1306","37"
"1307","80"
"1309","29"
"1311","8"
"1314","22"
"1315","10"
"1318","8"
"1930","12"
"1933","113"
"1934","5"
"1936","20"
"1942","31"
"1944","18"
"1945","18"
"1946","5"
"1950","12"
"1952","11"
"1955","26"
"1957","2"
"1961","19"
"1969","14"
"1970","10"
"1972","1"
"1976","3"
"1978","18"
"1979","1"
"1982","53"
"1984","6"
"1985","16"
"1987","9"
"1988","8"
"2611","5"
"2612","9"
"2615","17"
"2616","9"
"2617","40"
"2623","18"
"2624","1"
"2625","8"
"2626","15"
"2627","18"
"2628","87"
"2629","45"
"2630","23"
"2631","1"
"2632","6"
"2633","185"
"2634","62"
"2635","1"
"2636","1"
"2637","8"
"2639","4"
"2646","1"
"2648","25"
"2651","3"
"2652","58"
"2654","51"
"2656","1"
"2661","1"
"2662","69"
"2663","10"
"2664","61"
"2669","62"
"2670","12"
"3292","74"
"3296","76"
"3301","50"
"3303","51"
"3305","1"
"3307","13"
"3311","6"
"3318","1"
"3320","17"
"3321","38"
"3324","24"
"3325","3"
"3328","40"
"3329","29"
"3330","66"
"3335","4"
"3338","8"
"3339","40"
"3341","80"
"3346","3"
"3348","26"
"3968","2"
"3970","23"
"3975","14"
"3977","174"
"3979","3"
"3982","175"
"3984","7"
"3986","298"
"3987","21"
"3990","10"
"3998","2"
"3999","25"
"4000","33"
"4003","51"
"4007","2"
"4008","4"
"4009","26"
"4020","217"
"4021","21"
"4024","21"
"10","6"
"12","71"
"13","9"
"17","8"
"29","2"
"31","101"
"33","86"
"34","35"
"35","34"
"39","1"
"40","10"
"43","99"
"45","42"
"50","19"
"52","31"
"53","3"
"55","2"
"56","46"
"57","12"
"715","4"
"718","47"
"723","34"
"724","6"
"726","1"
"727","5"
"731","27"
"733","13"
"734","4"
"735","31"
"736","1"
"737","82"
"741","29"
"742","67"
"743","13"
"745","2"
"754","27"
"762","168"
"765","63"
"766","13"
"767","11"
"768","37"
"769","16"
"770","32"
"772","10"
"1489","18"
"1491","41"
"1493","12"
"1495","48"
"1496","22"
"1497","13"
"1498","30"
"1500","21"
"1504","9"
"1506","19"
"1508","28"
"1509","1"
"1510","9"
"1511","43"
"1513","5"
"1514","13"
"1516","29"
"1522","67"
"1523","5"
"1524","9"
"1525","3"
"1528","35"
"1532","44"
"1536","49"
"1537","10"
"1538","8"
"1541","61"
"1542","18"
"1545","10"
"1546","21"
"1548","20"
"2255","29"
"2256","63"
