ID,Matches played,Name,Highlander games,6's games,Defaults,Country
89864,175,Nagi,33,119,3,Wales
66466,175,STiNGHAN,91,48,1,Poland
11636,175,Monkeh,18,73,1,England
15525,175,Santtu,35,98,2,Finland
32017,174,So||o Wo|o,6,122,1,Spain
10194,174,Kiler4fun,16,104,1,Portugal
17492,174,Hafficool,15,100,1,Iceland
9035,174,T0m,22,129,1,England
3841,173,wltrs,9,125,1,Sweden
102697,173,Dave_the_Irate,71,61,0,UnitedKingdom
94609,173,Demos,51,101,0,Romania
21204,173,Buttnose,29,94,1,UnitedKingdom
104289,173,Domo,12,146,3,UnitedKingdom
17983,173,Raymon,27,128,1,UnitedKingdom
115289,173,kola,48,102,1,Finland
86050,173,Krun,15,128,0,CzechRepublic
107063,173,Chef Excellence,54,109,1,UnitedKingdom
94719,172,cloudy,89,54,2,England
4032,172,Gas13,31,110,1,Russia
74241,171,DCS,51,113,2,Germany
63583,171,009EFF,23,127,7,Belgium
23324,170,TheSucker,38,43,0,Sweden
72079,170,LionKing,88,73,0,Germany
105478,169,Vclox_,96,55,1,England
9871,169,droso,38,88,0,Belgium
70868,169,Cnoz,60,77,1,Netherlands
108915,168,B4ro,46,94,3,UnitedKingdom
95146,168,Elacour,18,130,2,France
12561,168,.kr4tos,12,129,0,Germany
62632,167,feeling,28,95,0,Germany
90085,167,credu,19,125,2,Finland
89942,167,Corbac,6,142,0,France
104976,167,Traitor,22,122,0,Norway
11433,166,Mike,7,125,0,Wales
60764,166,Fischkopf,5,146,5,Germany
62090,166,Aoshi,57,82,2,Belgium
107775,166,Sprasty,59,87,1,Italy
9994,166,kKaltUu,60,63,1,Netherlands
101642,166,Buck824,100,39,3,England
18644,166,smziii,23,116,2,Germany
91430,165,Dowel,63,85,2,England
89279,165,dd5f,18,103,5,Germany
5975,165,H...,26,98,3,England
43456,165,caeli,28,91,2,Spain
1242,164,Netsky,0,129,1,Luxembourg
11076,164,scatmo,17,120,1,Spain
61388,164,Der_Milchmann,66,70,2,Germany
104999,163,Beckler,65,88,1,Germany
48222,163,Muffinz,34,109,2,Finland
96545,163,Princess Luna,54,94,2,Finland
112758,162,maly,18,120,2,Poland
91077,162,Silvermaster,49,81,2,Russia
66898,162,alle,27,94,1,Sweden
104286,161,Vouri,41,106,2,England
58226,161,alba,10,128,0,Sweden
65899,161,Mac,21,132,1,UnitedKingdom
63260,161,quintosh,72,54,0,Germany
120113,160,lc50,68,55,2,Russia
96658,160,El Beno,44,102,3,England
92327,160,chando,63,80,0,England
83579,159,tobs,6,131,0,Denmark
20076,159,NKF,35,107,0,Germany
13753,159,Setlet,19,97,1,Finland
107814,159,SchmitShot,35,104,1,France
14356,159,ash,1,139,0,Germany
113797,158,auto,51,95,1,UnitedKingdom
2970,158,Adrenaline,17,106,1,Italy
15442,157,crizzl,4,122,1,Denmark
126040,157,Elsbeth,62,84,2,International
97365,156,Flowy,62,83,1,Austria
3885,156,irfx,49,60,1,Russia
90611,156,AlienSmiley,11,136,0,France
93698,156,deli69,33,112,3,France
4359,156,Jose,14,97,0,Finland
58865,155,aidelos,13,123,0,Germany
16433,155,Swi,18,100,0,Sweden
113699,155,Aga,72,73,1,Finland
71150,155,Twisted,37,96,2,Sweden
10598,155,Mont,11,124,2,UnitedKingdom
17174,155,Linus,42,74,0,Hungary
94313,154,Silver Tosspot,66,69,3,Sweden
